번호,품종,지역,연도,건물수량(kg/ha),연평균기온,최저기온,최고기온,고온일수,연속고온지속일수,강수량,평균 상대습도(%),합계 일조시간(hr),일조율(%),평균 풍속(m/s)
915,옥수수,대구(경북),2014,23360,14.9,-7.4,37.5,22,7,1072.1,57.2,2428.4,54.55,1.9
916,옥수수,대구(경북),2014,17500,14.9,-7.4,37.5,22,7,1072.1,57.2,2428.4,54.55,1.9
917,옥수수,대구(경북),2014,20540,14.9,-7.4,37.5,22,7,1072.1,57.2,2428.4,54.55,1.9
918,옥수수,대구(경북),2014,22350,14.9,-7.4,37.5,22,7,1072.1,57.2,2428.4,54.55,1.9
919,옥수수,대구(경북),2014,16190,14.9,-7.4,37.5,22,7,1072.1,57.2,2428.4,54.55,1.9
920,옥수수,대구(경북),2014,17970,14.9,-7.4,37.5,22,7,1072.1,57.2,2428.4,54.55,1.9
921,옥수수,대구(경북),2014,19200,14.9,-7.4,37.5,22,7,1072.1,57.2,2428.4,54.55,1.9
922,옥수수,대구(경북),2014,19770,14.9,-7.4,37.5,22,7,1072.1,57.2,2428.4,54.55,1.9
923,옥수수,대구(경북),2014,17970,14.9,-7.4,37.5,22,7,1072.1,57.2,2428.4,54.55,1.9
924,옥수수,대구(경북),2014,23280,14.9,-7.4,37.5,22,7,1072.1,57.2,2428.4,54.55,1.9
925,옥수수,대구(경북),2014,22740,14.9,-7.4,37.5,22,7,1072.1,57.2,2428.4,54.55,1.9
926,옥수수,대구(경북),2014,17610,14.9,-7.4,37.5,22,7,1072.1,57.2,2428.4,54.55,1.9
927,옥수수,대구(경북),2014,23220,14.9,-7.4,37.5,22,7,1072.1,57.2,2428.4,54.55,1.9
928,옥수수,대구(경북),2013,24520,15,-12.5,37.9,54,20,996.4,56.3,2693.5,60.68,2
929,옥수수,대구(경북),2013,21130,15,-12.5,37.9,54,20,996.4,56.3,2693.5,60.68,2
930,옥수수,대구(경북),2013,20670,15,-12.5,37.9,54,20,996.4,56.3,2693.5,60.68,2
931,옥수수,대구(경북),2013,19830,15,-12.5,37.9,54,20,996.4,56.3,2693.5,60.68,2
932,옥수수,대구(경북),2013,20270,15,-12.5,37.9,54,20,996.4,56.3,2693.5,60.68,2
933,옥수수,대구(경북),2013,24790,15,-12.5,37.9,54,20,996.4,56.3,2693.5,60.68,2
934,옥수수,대구(경북),2013,22080,15,-12.5,37.9,54,20,996.4,56.3,2693.5,60.68,2
935,옥수수,대구(경북),2013,22130,15,-12.5,37.9,54,20,996.4,56.3,2693.5,60.68,2
936,옥수수,대구(경북),2013,20940,15,-12.5,37.9,54,20,996.4,56.3,2693.5,60.68,2
937,옥수수,대구(경북),2013,23460,15,-12.5,37.9,54,20,996.4,56.3,2693.5,60.68,2
938,옥수수,대구(경북),2013,21480,15,-12.5,37.9,54,20,996.4,56.3,2693.5,60.68,2
939,옥수수,대구(경북),2013,19830,15,-12.5,37.9,54,20,996.4,56.3,2693.5,60.68,2
940,옥수수,대구(경북),2013,21040,15,-12.5,37.9,54,20,996.4,56.3,2693.5,60.68,2
941,옥수수,대구(경북),2013,20260,15,-12.5,37.9,54,20,996.4,56.3,2693.5,60.68,2
942,옥수수,대구(경북),2012,19180,14.1,-12.4,37.2,30,18,1189.9,56.4,2534.9,56.83,2.2
943,옥수수,대구(경북),2012,17290,14.1,-12.4,37.2,30,18,1189.9,56.4,2534.9,56.83,2.2
944,옥수수,대구(경북),2012,20160,14.1,-12.4,37.2,30,18,1189.9,56.4,2534.9,56.83,2.2
945,옥수수,대구(경북),2012,21400,14.1,-12.4,37.2,30,18,1189.9,56.4,2534.9,56.83,2.2
946,옥수수,대구(경북),2012,20790,14.1,-12.4,37.2,30,18,1189.9,56.4,2534.9,56.83,2.2
947,옥수수,대구(경북),2012,15520,14.1,-12.4,37.2,30,18,1189.9,56.4,2534.9,56.83,2.2
948,옥수수,대구(경북),2012,18090,14.1,-12.4,37.2,30,18,1189.9,56.4,2534.9,56.83,2.2
949,옥수수,대구(경북),2012,17670,14.1,-12.4,37.2,30,18,1189.9,56.4,2534.9,56.83,2.2
950,옥수수,대구(경북),2012,18350,14.1,-12.4,37.2,30,18,1189.9,56.4,2534.9,56.83,2.2
