번호,품종,지역,연도,건물수량(kg/ha),연평균기온,최저기온,최고기온,고온일수,연속고온지속일수,강수량,평균 상대습도(%),합계 일조시간(hr),일조율(%),평균 풍속(m/s)
1,이탈리안 라이그라스,천안,2006,10668,11.5,-15.6,33.5,6,3,1043.3,67.6,2010.9,45.15,1.8
2,이탈리안 라이그라스,제주,2006,18966,16.2,-1.8,34,7,2,1527.4,64.3,1704.7,38.32,3.2
3,이탈리안 라이그라스,연천,2006,8600,11.2,-17.5,34.8,8,3,1360.1,66.6,1972.1,44.27,1.6
4,이탈리안 라이그라스,익산,2006,6193,14.1,-13.1,36.4,28,19,1187.5,68.9,1920.3,43.14,2
5,이탈리안 라이그라스,천안,2007,16008,12.5,-13.6,34.9,3,2,1562.4,69.2,1934.1,43.43,1.7
6,이탈리안 라이그라스,제주,2007,20672,16.5,0.8,34,6,2,2139.8,61.8,1671.8,39.07,3.3
7,이탈리안 라이그라스,연천,2007,12666,11.5,-13.8,34.3,1,1,1286.3,67.3,1856.5,41.68,1.6
8,이탈리안 라이그라스,익산,2007,14543,14,-7.2,34.8,16,5,1471.7,69.9,1895,42.58,1.9
9,이탈리안 라이그라스,천안,2008,17900,12.3,-13.4,34.2,7,3,870.1,69.8,2107.4,47.22,2
10,이탈리안 라이그라스,연천,2008,11361,11.7,-15.2,35.2,8,6,1518.2,68.1,2137.1,47.88,1.6
11,이탈리안 라이그라스,제주,2008,28717,16,-0.5,34.8,4,2,1308.8,63.9,1687,37.94,3.4
12,이탈리안 라이그라스,예산,2008,13040,12,-13.1,33.5,2,1,909.6,74.3,2095.5,46.96,2.5
13,이탈리안 라이그라스,익산,2008,7480,13.9,-10.8,35.3,19,5,1000,65.2,1993.2,44.67,1.8
14,이탈리안 라이그라스,천안,2009,11198,12.3,-18.2,33.3,1,1,999.9,68.8,2151.8,48.32,2
15,이탈리안 라이그라스,연천,2009,5087,11.7,-15,34.1,4,3,1527.8,66.9,2087.1,46.86,1.7
16,이탈리안 라이그라스,제주,2009,15469,16,-2.5,33.6,6,2,1304.8,62.5,1764.7,39.67,3.5
17,이탈리안 라이그라스,예산,2009,8543,12.3,-13.9,32.5,0,0,1074.3,73.4,2174.3,48.83,2.7
18,이탈리안 라이그라스,익산,2009,12700,13.6,-12.9,34.4,9,2,1163.9,63.9,2037.4,45.78,1.9
19,이탈리안 라이그라스,천안,2010,8884,12.2,-19.5,34.9,14,5,1378.3,70.4,1970.9,44.26,2
20,이탈리안 라이그라스,연천,2010,10451,10.9,-19.5,33,1,1,1939.5,67.5,1845.9,41.44,1.7
21,이탈리안 라이그라스,제주,2010,16231,15.6,-2.3,35.8,13,5,1584.9,66.5,1681.8,38.07,3.3
22,이탈리안 라이그라스,예산,2010,7480,11.7,-13.2,31.8,0,0,2141.8,73.9,1984.3,44.56,2.8
23,이탈리안 라이그라스,익산,2010,10211,13.5,-10.9,35.7,26,7,1462.3,66.1,1872.1,42.06,2
24,이탈리안 라이그라스,천안,2011,9057,12,-18.3,34.3,6,4,1845.8,67.3,2048.5,46,2.1
