번호,품종,지역,연도,건물수량(kg/ha),연평균기온,최저기온,최고기온,고온일수,연속고온지속일수,강수량,평균 상대습도(%),합계 일조시간(hr),일조율(%),평균 풍속(m/s)
278,목초,수원,1973,13330,11.3,-24.4,34.6,7,3,1021.8,76.1,2217.6,50.01,1.8
279,목초,수원,1973,12120,11.3,-24.4,34.6,7,3,1021.8,76.1,2217.6,50.01,1.8
280,목초,수원,1973,12660,11.3,-24.4,34.6,7,3,1021.8,76.1,2217.6,50.01,1.8
281,목초,수원,1973,9930,11.3,-24.4,34.6,7,3,1021.8,76.1,2217.6,50.01,1.8
282,목초,수원,1973,13180,11.3,-24.4,34.6,7,3,1021.8,76.1,2217.6,50.01,1.8
283,목초,수원,1974,9750,10.2,-20.4,33.2,2,2,1189.3,74.8,2114.7,47.69,1.5
284,목초,수원,1974,9340,10.2,-20.4,33.2,2,2,1189.3,74.8,2114.7,47.69,1.5
285,목초,수원,1974,6310,10.2,-20.4,33.2,2,2,1189.3,74.8,2114.7,47.69,1.5
286,목초,수원,1974,6340,10.2,-20.4,33.2,2,2,1189.3,74.8,2114.7,47.69,1.5
287,목초,수원,1974,6790,10.2,-20.4,33.2,2,2,1189.3,74.8,2114.7,47.69,1.5
288,목초,수원,1974,6630,10.2,-20.4,33.2,2,2,1189.3,74.8,2114.7,47.69,1.5
289,목초,수원,1974,4840,10.2,-20.4,33.2,2,2,1189.3,74.8,2114.7,47.69,1.5
290,목초,수원,1974,4840,10.2,-20.4,33.2,2,2,1189.3,74.8,2114.7,47.69,1.5
291,목초,수원,1974,3890,10.2,-20.4,33.2,2,2,1189.3,74.8,2114.7,47.69,1.5
292,목초,금산,2015,8188,12.6,-13.2,35.7,12,6,877.6,73.1,2022.2,45.43,1.2
293,목초,금산,2015,6207,12.6,-13.2,35.7,12,6,877.6,73.1,2022.2,45.43,1.2
294,목초,금산,2015,6650,12.6,-13.2,35.7,12,6,877.6,73.1,2022.2,45.43,1.2
295,목초,금산,2015,5527,12.6,-13.2,35.7,12,6,877.6,73.1,2022.2,45.43,1.2
296,목초,금산,2015,4552,12.6,-13.2,35.7,12,6,877.6,73.1,2022.2,45.43,1.2
297,목초,금산,2015,5164,12.6,-13.2,35.7,12,6,877.6,73.1,2022.2,45.43,1.2
298,목초,금산,2016,11803,12.7,-17.4,35.7,32,23,1325.6,71.8,2070.1,46.41,1.2
299,목초,금산,2016,11370,12.7,-17.4,35.7,32,23,1325.6,71.8,2070.1,46.41,1.2
300,목초,금산,2016,12993,12.7,-17.4,35.7,32,23,1325.6,71.8,2070.1,46.41,1.2
301,목초,금산,2016,11291,12.7,-17.4,35.7,32,23,1325.6,71.8,2070.1,46.41,1.2
302,목초,금산,2016,10384,12.7,-17.4,35.7,32,23,1325.6,71.8,2070.1,46.41,1.2
303,목초,금산,2016,10808,12.7,-17.4,35.7,32,23,1325.6,71.8,2070.1,46.41,1.2
304,목초,천안,2015,6735,13,-12.8,36.3,10,5,728,71.7,2124.7,48.45,1.9
305,목초,천안,2015,6084,13,-12.8,36.3,10,5,728,71.7,2124.7,48.45,1.9
306,목초,천안,2015,7340,13,-12.8,36.3,10,5,728,71.7,2124.7,48.45,1.9
307,목초,천안,2015,5497,13,-12.8,36.3,10,5,728,71.7,2124.7,48.45,1.9
308,목초,천안,2016,5410,12.7,-18.6,35.1,17,7,1004.8,69.9,2223.8,49.83,1.5
309,목초,천안,2016,4843,12.7,-18.6,35.1,17,7,1004.8,69.9,2223.8,49.83,1.5
310,목초,천안,2016,5543,12.7,-18.6,35.1,17,7,1004.8,69.9,2223.8,49.83,1.5
311,목초,천안,2016,5092,12.7,-18.6,35.1,17,7,1004.8,69.9,2223.8,49.83,1.5
312,목초,제주,2015,6565,16.7,-0.7,36.7,7,2,1728.3,70.9,1826.6,41.06,3
313,목초,제주,2015,5737,16.7,-0.7,36.7,7,2,1728.3,70.9,1826.6,41.06,3
314,목초,제주,2015,10690,16.7,-0.7,36.7,7,2,1728.3,70.9,1826.6,41.06,3
315,목초,제주,2015,6993,16.7,-0.7,36.7,7,2,1728.3,70.9,1826.6,41.06,3
316,목초,제주,2015,12412,16.7,-0.7,36.7,7,2,1728.3,70.9,1826.6,41.06,3
317,목초,제주,2015,12077,16.7,-0.7,36.7,7,2,1728.3,70.9,1826.6,41.06,3
318,목초,제주,2015,14884,16.7,-0.7,36.7,7,2,1728.3,70.9,1826.6,41.06,3
319,목초,제주,2015,16496,16.7,-0.7,36.7,7,2,1728.3,70.9,1826.6,41.06,3
320,목초,천안,2014,13944,12.8,-14.5,34.6,6,2,1020.5,67.1,2403.3,54.56,1.9
321,목초,천안,2014,15174,12.8,-14.5,34.6,6,2,1020.5,67.1,2403.3,54.56,1.9
322,목초,천안,2014,14987,12.8,-14.5,34.6,6,2,1020.5,67.1,2403.3,54.56,1.9
323,목초,천안,2014,14718,12.8,-14.5,34.6,6,2,1020.5,67.1,2403.3,54.56,1.9
324,목초,천안,2014,17062,12.8,-14.5,34.6,6,2,1020.5,67.1,2403.3,54.56,1.9
325,목초,천안,2014,14813,12.8,-14.5,34.6,6,2,1020.5,67.1,2403.3,54.56,1.9
326,목초,천안,2014,15749,12.8,-14.5,34.6,6,2,1020.5,67.1,2403.3,54.56,1.9
327,목초,천안,2015,17429,13,-12.8,36.3,10,5,728,71.7,2124.7,48.45,1.9
328,목초,천안,2015,18177,13,-12.8,36.3,10,5,728,71.7,2124.7,48.45,1.9
329,목초,천안,2015,18935,13,-12.8,36.3,10,5,728,71.7,2124.7,48.45,1.9
330,목초,천안,2015,19675,13,-12.8,36.3,10,5,728,71.7,2124.7,48.45,1.9
331,목초,천안,2015,18959,13,-12.8,36.3,10,5,728,71.7,2124.7,48.45,1.9
332,목초,천안,2015,17920,13,-12.8,36.3,10,5,728,71.7,2124.7,48.45,1.9
333,목초,제주,2010,12740,15.6,-2.3,35.8,13,5,1584.9,66.5,1681.8,38.07,3.3
334,목초,제주,2010,12619,15.6,-2.3,35.8,13,5,1584.9,66.5,1681.8,38.07,3.3
335,목초,제주,2010,12750,15.6,-2.3,35.8,13,5,1584.9,66.5,1681.8,38.07,3.3
336,목초,제주,2003,11342,15.7,-2.1,34.3,4,1,1999.2,72.2,1757,39.5,3.1
337,목초,제주,2003,10368,15.7,-2.1,34.3,4,1,1999.2,72.2,1757,39.5,3.1
338,목초,제주,2003,10790,15.7,-2.1,34.3,4,1,1999.2,72.2,1757,39.5,3.1
339,목초,제주,2003,9864,15.7,-2.1,34.3,4,1,1999.2,72.2,1757,39.5,3.1
340,목초,제주,2003,9312,15.7,-2.1,34.3,4,1,1999.2,72.2,1757,39.5,3.1
341,목초,제주,2003,10138,15.7,-2.1,34.3,4,1,1999.2,72.2,1757,39.5,3.1
342,목초,제주,2004,12699,16.4,-3.2,34.3,9,3,1333.8,67.1,2106.3,47.25,2.8
343,목초,제주,2004,11942,16.4,-3.2,34.3,9,3,1333.8,67.1,2106.3,47.25,2.8
344,목초,제주,2004,12261,16.4,-3.2,34.3,9,3,1333.8,67.1,2106.3,47.25,2.8
345,목초,제주,2004,11714,16.4,-3.2,34.3,9,3,1333.8,67.1,2106.3,47.25,2.8
346,목초,제주,2004,13468,16.4,-3.2,34.3,9,3,1333.8,67.1,2106.3,47.25,2.8
347,목초,제주,2004,12645,16.4,-3.2,34.3,9,3,1333.8,67.1,2106.3,47.25,2.8
348,목초,제주,2005,10416,16.2,-1.5,34.7,10,3,872.5,63.7,1771,39.81,3.5
349,목초,제주,2005,9583,16.2,-1.5,34.7,10,3,872.5,63.7,1771,39.81,3.5
350,목초,제주,2005,9449,16.2,-1.5,34.7,10,3,872.5,63.7,1771,39.81,3.5
351,목초,제주,2005,10303,16.2,-1.5,34.7,10,3,872.5,63.7,1771,39.81,3.5
352,목초,제주,2005,10451,16.2,-1.5,34.7,10,3,872.5,63.7,1771,39.81,3.5
353,목초,제주,2005,10724,16.2,-1.5,34.7,10,3,872.5,63.7,1771,39.81,3.5
354,목초,제주,2001,12117,16.1,-3.1,35.8,8,6,1388.6,65.1,1910.1,42.97,3.2
355,목초,제주,2001,11732,16.1,-3.1,35.8,8,6,1388.6,65.1,1910.1,42.97,3.2
356,목초,제주,2001,11318,16.1,-3.1,35.8,8,6,1388.6,65.1,1910.1,42.97,3.2
357,목초,제주,2002,12377,15.8,0.6,35,2,1,1704.1,67.9,1794.9,40.35,3.2
358,목초,제주,2002,11858,15.8,0.6,35,2,1,1704.1,67.9,1794.9,40.35,3.2
359,목초,제주,2002,12403,15.8,0.6,35,2,1,1704.1,67.9,1794.9,40.35,3.2
360,목초,제주,2003,11342,15.7,-2.1,34.3,4,1,1999.2,72.2,1757,39.5,3.1
361,목초,제주,2003,10368,15.7,-2.1,34.3,4,1,1999.2,72.2,1757,39.5,3.1
362,목초,제주,2003,10790,15.7,-2.1,34.3,4,1,1999.2,72.2,1757,39.5,3.1
363,목초,제주,2003,9864,15.7,-2.1,34.3,4,1,1999.2,72.2,1757,39.5,3.1
364,목초,제주,2003,9312,15.7,-2.1,34.3,4,1,1999.2,72.2,1757,39.5,3.1
365,목초,제주,2003,10138,15.7,-2.1,34.3,4,1,1999.2,72.2,1757,39.5,3.1
366,목초,제주,2004,12699,16.4,-3.2,34.3,9,3,1333.8,67.1,2106.3,47.25,2.8
367,목초,제주,2004,11942,16.4,-3.2,34.3,9,3,1333.8,67.1,2106.3,47.25,2.8
368,목초,제주,2004,12261,16.4,-3.2,34.3,9,3,1333.8,67.1,2106.3,47.25,2.8
369,목초,제주,2004,11714,16.4,-3.2,34.3,9,3,1333.8,67.1,2106.3,47.25,2.8
370,목초,제주,2004,13468,16.4,-3.2,34.3,9,3,1333.8,67.1,2106.3,47.25,2.8
371,목초,제주,2004,12645,16.4,-3.2,34.3,9,3,1333.8,67.1,2106.3,47.25,2.8
372,목초,제주,2005,10416,16.2,-1.5,34.7,10,3,872.5,63.7,1771,39.81,3.5
373,목초,제주,2005,9583,16.2,-1.5,34.7,10,3,872.5,63.7,1771,39.81,3.5
374,목초,제주,2005,9449,16.2,-1.5,34.7,10,3,872.5,63.7,1771,39.81,3.5
375,목초,제주,2005,10303,16.2,-1.5,34.7,10,3,872.5,63.7,1771,39.81,3.5
376,목초,제주,2005,10451,16.2,-1.5,34.7,10,3,872.5,63.7,1771,39.81,3.5
377,목초,제주,2005,10724,16.2,-1.5,34.7,10,3,872.5,63.7,1771,39.81,3.5
378,목초,남원,2000,6864,12.1,-19,35.2,17,5,1475.5,71.6,1996.8,47.6,1.4
379,목초,남원,2000,7252,12.1,-19,35.2,17,5,1475.5,71.6,1996.8,47.6,1.4
380,목초,남원,2000,4849,12.1,-19,35.2,17,5,1475.5,71.6,1996.8,47.6,1.4
381,목초,남원,2000,7728,12.1,-19,35.2,17,5,1475.5,71.6,1996.8,47.6,1.4
382,목초,남원,2001,14437,12.5,-19.7,35.3,20,6,1467.5,69.8,2420.1,54.43,1.3
383,목초,남원,2001,14732,12.5,-19.7,35.3,20,6,1467.5,69.8,2420.1,54.43,1.3
384,목초,남원,2001,8572,12.5,-19.7,35.3,20,6,1467.5,69.8,2420.1,54.43,1.3
385,목초,남원,2001,12382,12.5,-19.7,35.3,20,6,1467.5,69.8,2420.1,54.43,1.3
386,목초,대전,2002,5546,13.3,-12,34.2,3,1,1378.7,66.7,2058,46.24,2.2
387,목초,대전,2002,7625,13.3,-12,34.2,3,1,1378.7,66.7,2058,46.24,2.2
388,목초,대전,2002,8586,13.3,-12,34.2,3,1,1378.7,66.7,2058,46.24,2.2
389,목초,대전,2003,7088,13.2,-14.5,32.2,0,0,1748.9,69,1838.9,41.31,2.1
390,목초,대전,2003,9365,13.2,-14.5,32.2,0,0,1748.9,69,1838.9,41.31,2.1
391,목초,대전,2003,12136,13.2,-14.5,32.2,0,0,1748.9,69,1838.9,41.31,2.1
392,목초,제주,2001,17377,16.1,-3.1,35.8,8,6,1388.6,65.1,1910.1,42.97,3.2
393,목초,제주,2001,16839,16.1,-3.1,35.8,8,6,1388.6,65.1,1910.1,42.97,3.2
394,목초,제주,2001,17176,16.1,-3.1,35.8,8,6,1388.6,65.1,1910.1,42.97,3.2
395,목초,제주,2002,15202,15.8,0.6,35,2,1,1704.1,67.9,1794.9,40.35,3.2
396,목초,제주,2002,14423,15.8,0.6,35,2,1,1704.1,67.9,1794.9,40.35,3.2
397,목초,제주,2002,15460,15.8,0.6,35,2,1,1704.1,67.9,1794.9,40.35,3.2
398,목초,대전,1998,9847,13.6,-13.4,34.2,3,1,2070,71.3,2051.4,46.11,1.6
399,목초,대전,1998,8423,13.6,-13.4,34.2,3,1,2070,71.3,2051.4,46.11,1.6
400,목초,대전,1998,7749,13.6,-13.4,34.2,3,1,2070,71.3,2051.4,46.11,1.6
401,목초,대전,1998,8954,13.6,-13.4,34.2,3,1,2070,71.3,2051.4,46.11,1.6
402,목초,대전,1999,9596,13,-13.5,33.8,7,2,1455.2,69.9,2243.1,50.42,1.6
403,목초,대전,1999,8143,13,-13.5,33.8,7,2,1455.2,69.9,2243.1,50.42,1.6
404,목초,대전,1999,6628,13,-13.5,33.8,7,2,1455.2,69.9,2243.1,50.42,1.6
405,목초,대전,1999,6808,13,-13.5,33.8,7,2,1455.2,69.9,2243.1,50.42,1.6
406,목초,대전,2000,6332,12.4,-12.4,33.9,14,4,1707.5,67.2,2134.7,47.87,2.7
407,목초,대전,2000,5225,12.4,-12.4,33.9,14,4,1707.5,67.2,2134.7,47.87,2.7
408,목초,대전,2000,5686,12.4,-12.4,33.9,14,4,1707.5,67.2,2134.7,47.87,2.7
409,목초,대전,2000,5960,12.4,-12.4,33.9,14,4,1707.5,67.2,2134.7,47.87,2.7
410,목초,제주,1999,4949,16,-1.6,32.8,0,0,2526,71.2,1656.3,37.26,3.4
411,목초,제주,1999,5904,16,-1.6,32.8,0,0,2526,71.2,1656.3,37.26,3.4
412,목초,제주,1999,7152,16,-1.6,32.8,0,0,2526,71.2,1656.3,37.26,3.4
413,목초,제주,1999,7608,16,-1.6,32.8,0,0,2526,71.2,1656.3,37.26,3.4
414,목초,제주,1999,8010,16,-1.6,32.8,0,0,2526,71.2,1656.3,37.26,3.4
415,목초,대전,1998,11415,13.6,-13.4,34.2,3,1,2070,71.3,2051.4,46.11,1.6
416,목초,대전,1998,12703,13.6,-13.4,34.2,3,1,2070,71.3,2051.4,46.11,1.6
417,목초,대전,1999,13219,13,-13.5,33.8,7,2,1455.2,69.9,2243.1,50.42,1.6
418,목초,대전,1999,16262,13,-13.5,33.8,7,2,1455.2,69.9,2243.1,50.42,1.6
419,목초,수원,1994,6123,13.2,-14.8,37.3,26,15,1045.6,65.7,2253.4,50.64,1.5
420,목초,수원,1994,11230,13.2,-14.8,37.3,26,15,1045.6,65.7,2253.4,50.64,1.5
421,목초,수원,1994,6067,13.2,-14.8,37.3,26,15,1045.6,65.7,2253.4,50.64,1.5
422,목초,수원,1994,9653,13.2,-14.8,37.3,26,15,1045.6,65.7,2253.4,50.64,1.5
423,목초,수원,1995,6818,11.9,-12.8,34.1,2,2,1653.3,67.7,2233.7,50.2,1.5
424,목초,수원,1995,9203,11.9,-12.8,34.1,2,2,1653.3,67.7,2233.7,50.2,1.5
425,목초,수원,1995,7127,11.9,-12.8,34.1,2,2,1653.3,67.7,2233.7,50.2,1.5
426,목초,수원,1995,10335,11.9,-12.8,34.1,2,2,1653.3,67.7,2233.7,50.2,1.5
427,목초,수원,1986,4447,10.6,-20.1,32.5,0,0,1144.1,73.8,2184.5,49.1,1.5
428,목초,수원,1986,7891,10.6,-20.1,32.5,0,0,1144.1,73.8,2184.5,49.1,1.5
429,목초,수원,1986,10436,10.6,-20.1,32.5,0,0,1144.1,73.8,2184.5,49.1,1.5
430,목초,수원,1986,3000,10.6,-20.1,32.5,0,0,1144.1,73.8,2184.5,49.1,1.5
431,목초,수원,1986,5997,10.6,-20.1,32.5,0,0,1144.1,73.8,2184.5,49.1,1.5
432,목초,수원,1986,8025,10.6,-20.1,32.5,0,0,1144.1,73.8,2184.5,49.1,1.5
433,목초,수원,1986,9747,10.6,-20.1,32.5,0,0,1144.1,73.8,2184.5,49.1,1.5
434,목초,수원,1987,6892,11.4,-16.9,32.5,0,0,1439.1,73.2,2256.1,50.7,1.6
435,목초,수원,1987,9939,11.4,-16.9,32.5,0,0,1439.1,73.2,2256.1,50.7,1.6
436,목초,수원,1987,11772,11.4,-16.9,32.5,0,0,1439.1,73.2,2256.1,50.7,1.6
437,목초,수원,1987,6672,11.4,-16.9,32.5,0,0,1439.1,73.2,2256.1,50.7,1.6
438,목초,수원,1987,9224,11.4,-16.9,32.5,0,0,1439.1,73.2,2256.1,50.7,1.6
439,목초,수원,1987,9799,11.4,-16.9,32.5,0,0,1439.1,73.2,2256.1,50.7,1.6
440,목초,수원,1987,11196,11.4,-16.9,32.5,0,0,1439.1,73.2,2256.1,50.7,1.6
441,목초,목포,1996,6754,13.6,-6.6,36.1,13,6,1040.9,65.5,2234.5,50.14,4.2
442,목초,목포,1996,7862,13.6,-6.6,36.1,13,6,1040.9,65.5,2234.5,50.14,4.2
443,목초,목포,1996,8163,13.6,-6.6,36.1,13,6,1040.9,65.5,2234.5,50.14,4.2
444,목초,수원,1993,5850,11.5,-13,31.4,0,0,1162.9,71.5,2028.1,45.58,1.6
445,목초,수원,1993,8235,11.5,-13,31.4,0,0,1162.9,71.5,2028.1,45.58,1.6
446,목초,수원,1993,8638,11.5,-13,31.4,0,0,1162.9,71.5,2028.1,45.58,1.6
447,목초,수원,1993,8947,11.5,-13,31.4,0,0,1162.9,71.5,2028.1,45.58,1.6
448,목초,수원,1993,9366,11.5,-13,31.4,0,0,1162.9,71.5,2028.1,45.58,1.6
449,목초,수원,1993,9788,11.5,-13,31.4,0,0,1162.9,71.5,2028.1,45.58,1.6
450,목초,수원,1994,3663,13.2,-14.8,37.3,26,15,1045.6,65.7,2253.4,50.64,1.5
451,목초,수원,1994,6431,13.2,-14.8,37.3,26,15,1045.6,65.7,2253.4,50.64,1.5
452,목초,수원,1994,6357,13.2,-14.8,37.3,26,15,1045.6,65.7,2253.4,50.64,1.5
453,목초,수원,1994,9154,13.2,-14.8,37.3,26,15,1045.6,65.7,2253.4,50.64,1.5
454,목초,수원,1994,7203,13.2,-14.8,37.3,26,15,1045.6,65.7,2253.4,50.64,1.5
455,목초,수원,1994,8116,13.2,-14.8,37.3,26,15,1045.6,65.7,2253.4,50.64,1.5
456,목초,목포,1995,3023,13.9,-5.4,34,3,3,613.2,66,2227.5,50.09,4.4
457,목초,목포,1995,3393,13.9,-5.4,34,3,3,613.2,66,2227.5,50.09,4.4
458,목초,목포,1995,3938,13.9,-5.4,34,3,3,613.2,66,2227.5,50.09,4.4
459,목초,목포,1995,5102,13.9,-5.4,34,3,3,613.2,66,2227.5,50.09,4.4
460,목초,목포,1995,7922,13.9,-5.4,34,3,3,613.2,66,2227.5,50.09,4.4
461,목초,목포,1995,8240,13.9,-5.4,34,3,3,613.2,66,2227.5,50.09,4.4
462,목초,수원,1994,4232,13.2,-14.8,37.3,26,15,1045.6,65.7,2253.4,50.64,1.5
463,목초,수원,1994,9869,13.2,-14.8,37.3,26,15,1045.6,65.7,2253.4,50.64,1.5
464,목초,수원,1994,7606,13.2,-14.8,37.3,26,15,1045.6,65.7,2253.4,50.64,1.5
465,목초,수원,1994,11222,13.2,-14.8,37.3,26,15,1045.6,65.7,2253.4,50.64,1.5
466,목초,수원,1994,10197,13.2,-14.8,37.3,26,15,1045.6,65.7,2253.4,50.64,1.5
467,목초,수원,1995,6392,11.9,-12.8,34.1,2,2,1653.3,67.7,2233.7,50.2,1.5
468,목초,수원,1995,9244,11.9,-12.8,34.1,2,2,1653.3,67.7,2233.7,50.2,1.5
469,목초,수원,1995,9843,11.9,-12.8,34.1,2,2,1653.3,67.7,2233.7,50.2,1.5
470,목초,수원,1995,11140,11.9,-12.8,34.1,2,2,1653.3,67.7,2233.7,50.2,1.5
471,목초,수원,1995,11567,11.9,-12.8,34.1,2,2,1653.3,67.7,2233.7,50.2,1.5
472,목초,목포,1995,3793,13.9,-5.4,34,3,3,613.2,66,2227.5,50.09,4.4
473,목초,목포,1995,4949,13.9,-5.4,34,3,3,613.2,66,2227.5,50.09,4.4
