번호,품종,지역,연도,건물수량(kg/ha),연평균기온,최저기온,최고기온,고온일수,연속고온지속일수,강수량,평균 상대습도(%),합계 일조시간(hr),일조율(%),평균 풍속(m/s)
135,호밀,김제,2006,8350,14.1,-13.1,36.4,17,5,1187.5,68.9,1920.3,43.14,2
136,호밀,김제,2006,8400,14.1,-13.1,36.4,17,5,1187.5,68.9,1920.3,43.14,2
137,호밀,평창,2006,7300,11.2,-18.5,36.8,14,9,1304.2,76.2,1861.3,41.78,3.6
138,호밀,평창,2006,6840,11.2,-18.5,36.8,14,9,1304.2,76.2,1861.3,41.78,3.6
139,호밀,연천,2006,5900,11.2,-17.5,34.8,8,3,1360.1,66.6,1972.1,44.27,1.6
140,호밀,연천,2006,4020,11.2,-17.5,34.8,8,3,1360.1,66.6,1972.1,44.27,1.6
141,호밀,대구,2006,7660,14.6,-10.1,37.2,27,19,1131.5,58.3,2092.7,47.02,2.4
142,호밀,대구,2006,8680,14.6,-10.1,37.2,27,19,1131.5,58.3,2092.7,47.02,2.4
143,호밀,수원,2007,10310,12.9,-9.9,33.2,1,1,1325,71.4,1987.6,44.64,1.7
144,호밀,수원,2007,8500,12.9,-9.9,33.2,1,1,1325,71.4,1987.6,44.64,1.7
145,호밀,연천,2007,8960,11.5,-13.8,34.3,1,1,1286.3,67.3,1856.5,41.68,1.6
146,호밀,연천,2007,7750,11.5,-13.8,34.3,1,1,1286.3,67.3,1856.5,41.68,1.6
147,호밀,익산,2007,6050,14,-7.2,34.8,16,5,1471.7,69.9,1895,42.58,1.9
148,호밀,익산,2007,6920,14,-7.2,34.8,16,5,1471.7,69.9,1895,42.58,1.9
149,호밀,대구,2007,8260,15,-5.1,36.4,23,8,973.9,58.5,2045.4,45.95,2.3
150,호밀,대구,2007,8360,15,-5.1,36.4,23,8,973.9,58.5,2045.4,45.95,2.3
151,호밀,수원,2008,8870,12.8,-12.1,35.7,9,6,1342.9,69.8,2209,49.5,1.7
152,호밀,수원,2008,9080,12.8,-12.1,35.7,9,6,1342.9,69.8,2209,49.5,1.7
153,호밀,연천,2008,9680,11.7,-15.2,35.2,8,6,1518.2,68.1,2137.1,47.88,1.6
154,호밀,연천,2008,9560,11.7,-15.2,35.2,8,6,1518.2,68.1,2137.1,47.88,1.6
155,호밀,익산,2008,7340,13.9,-10.8,35.3,19,5,1000,65.2,1993.2,44.67,1.8
156,호밀,익산,2008,6200,13.9,-10.8,35.3,19,5,1000,65.2,1993.2,44.67,1.8
157,호밀,대구,2008,7470,14.6,-8.5,36.2,36,12,761.4,57.3,2180.7,48.89,2.2
158,호밀,대구,2008,6520,14.6,-8.5,36.2,36,12,761.4,57.3,2180.7,48.89,2.2
159,호밀,수원,2009,10640,12.6,-14.6,34.8,4,3,1541.2,70.9,2282.8,51.27,1.7
160,호밀,수원,2009,11210,12.6,-14.6,34.8,4,3,1541.2,70.9,2282.8,51.27,1.7
161,호밀,연천,2009,8590,11.7,-15,34.1,4,3,1527.8,66.9,2087.1,46.86,1.7
162,호밀,연천,2009,9260,11.7,-15,34.1,4,3,1527.8,66.9,2087.1,46.86,1.7
163,호밀,익산,2009,7050,13.6,-12.9,34.4,9,2,1163.9,63.9,2037.4,45.78,1.9
164,호밀,익산,2009,5480,13.6,-12.9,34.4,9,2,1163.9,63.9,2037.4,45.78,1.9
