번호,품종,지역,연도,건물수량(kg/ha),연평균기온,최저기온,최고기온,고온일수,연속고온지속일수,강수량
1,이탈리안 라이그라스,천안,2006,10668,11.5,-15.6,33.5,6,3,1043.3
2,이탈리안 라이그라스,제주,2006,18966,16.2,-1.8,34,7,2,1527.4
3,이탈리안 라이그라스,연천,2006,8600,11.2,-17.5,34.8,8,3,1360.1
4,이탈리안 라이그라스,익산,2006,6193,14.1,-13.1,36.4,28,19,1187.5
5,이탈리안 라이그라스,천안,2007,16008,12.5,-13.6,34.9,3,2,1562.4
6,이탈리안 라이그라스,제주,2007,20672,16.5,0.8,34,6,2,2139.8
7,이탈리안 라이그라스,연천,2007,12666,11.5,-13.8,34.3,1,1,1286.3
8,이탈리안 라이그라스,익산,2007,14543,14,-7.2,34.8,16,5,1471.7
9,이탈리안 라이그라스,천안,2008,17900,12.3,-13.4,34.2,7,3,870.1
10,이탈리안 라이그라스,연천,2008,11361,11.7,-15.2,35.2,8,6,1518.2
11,이탈리안 라이그라스,제주,2008,28717,16,-0.5,34.8,4,2,1308.8
12,이탈리안 라이그라스,예산,2008,13040,12,-13.1,33.5,2,1,909.6
13,이탈리안 라이그라스,익산,2008,7480,13.9,-10.8,35.3,19,5,1000
14,이탈리안 라이그라스,천안,2009,11198,12.3,-18.2,33.3,1,1,999.9
15,이탈리안 라이그라스,연천,2009,5087,11.7,-15,34.1,4,3,1527.8
16,이탈리안 라이그라스,제주,2009,15469,16,-2.5,33.6,6,2,1304.8
17,이탈리안 라이그라스,예산,2009,8543,12.3,-13.9,32.5,0,0,1074.3
18,이탈리안 라이그라스,익산,2009,12700,13.6,-12.9,34.4,9,2,1163.9
19,이탈리안 라이그라스,천안,2010,8884,12.2,-19.5,34.9,14,5,1378.3
20,이탈리안 라이그라스,연천,2010,10451,10.9,-19.5,33,1,1,1939.5
21,이탈리안 라이그라스,제주,2010,16231,15.6,-2.3,35.8,13,5,1584.9
22,이탈리안 라이그라스,예산,2010,7480,11.7,-13.2,31.8,0,0,2141.8
23,이탈리안 라이그라스,익산,2010,10211,13.5,-10.9,35.7,26,7,1462.3
24,이탈리안 라이그라스,천안,2011,9057,12,-18.3,34.3,6,4,1845.8
